ID	block	new_block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT
24	1	0	67	47.7079174858662	19.2920825141338	-0.494103097455991	32.2920825141338	80	0	4	0	16	0	1.24448470002972	0.0300583000062034
24	1	0	178	53.7300362344099	124.26996376559	6.02211874854374	99.2699637655901	153	1	0	0	16	0	0.877127000014298	0.18659550009761
24	1	0	131	61.6515904222651	69.3484095777349	7.92155418785519	91.3484095777349	153	0	1	0	16	0	2.69400919997133	0.0463390999939293
24	1	0	176	133.346250538843	42.6537494611574	71.6946601165775	19.6537494611574	153	0	2	0	16	0	1.67888349993154	0.130385000025854
24	1	0	144	196.578790775473	-52.5787907754732	63.2325402366305	-43.5787907754732	153	0	3	0	16	0	2.34395280003082	0.0786710999673232
24	1	0	174	194.769198530292	-20.7691985302917	-1.80959224518151	-41.7691985302916	153	0	4	0	16	0	3.38597220007796	1.68985069997143
24	1	0	171	153.434948822922	17.565051177078	-41.3342497073696	-0.43494882292203	153	0	5	0	16	1	1.12522929999977	0.0246714999666438
24	1	0	142	153.434948822922	-11.434948822922	0	-0.43494882292203	153	0	6	1	16	0	1.57646399992518	0.0159294999903068
24	1	0	153	154.140815937404	-1.14081593740444	0.705867114482414	-1.14081593740444	153	0	7	1	16	0	1.65278040000703	0.573539900011383
24	1	0	175	154.751861228715	20.2481387712847	0.611045291310817	-1.75186122871526	153	0	8	0	16	0	1.24353199999314	0.397019099909812
24	1	0	349	154.486129572466	-165.486129572466	-0.265731656249495	-165.486129572466	349	1	0	0	16	0	1.4182143000653	0.389165200060233
24	1	0	352	334.474214052306	17.5257859476938	179.98808447984	14.5257859476938	349	0	1	0	16	0	3.2866050999146	0.0241995999822393
24	1	0	320	152.397512885605	167.602487114395	177.923298833299	-163.397512885605	349	0	2	0	16	0	2.64840710000135	0.651839799946174
24	1	0	350	153.434948822922	-163.434948822922	1.03743593731696	-164.434948822922	349	0	3	0	16	0	1.15727450000122	0.228486399981193
24	1	0	334	153.649538754051	-179.649538754051	0.214589931129409	-164.649538754051	349	0	4	0	16	0	1.29235240002163	0.0291541999904439
24	1	0	352	332.768748852739	19.2312511472611	179.119210098687	16.2312511472611	349	0	5	0	16	0	0.791921099997126	0.047225599992089
24	1	0	342	335.185803009465	6.81419699053515	2.41705415672593	13.8141969905352	349	0	6	1	16	0	1.57640090002678	0.0448044999502599
24	1	0	7	339.966076835537	27.0339231644629	4.78027382607223	9.03392316446293	349	0	7	0	16	0	1.05687349999789	0.344890900072642
24	1	0	1	346.636035998628	14.3639640013724	6.6699591630905	2.36396400137243	349	0	8	0	16	0	0.918813300086185	0.342962800059468
24	1	0	350	354.518703405303	-4.51870340530262	7.88266740667504	-5.51870340530261	349	0	9	1	16	0	1.30257659999188	0.326274799997918
24	1	0	340	352.248220845703	-12.2482208457033	-2.27048255959934	-3.24822084570327	349	0	10	1	16	0	1.2010993999429	0.425748400040902
24	1	0	340	346.328692867804	-6.3286928678041	-5.91952797789917	2.6713071321959	349	0	11	1	16	0	0.962111399974674	0.27251709997654
24	1	0	16	343.529571560391	32.4704284396086	-2.79912130741271	5.47042843960861	349	0	12	0	16	0	1.25793059996795	0.3611791000003
24	1	0	112	352.874983651098	119.125016348902	9.34541209070678	108.125016348902	101	1	0	0	16	0	15.683384199976	14.2688497999916
24	1	0	101	95.0154174734019	5.98458252659814	102.140433822304	5.98458252659814	101	0	1	1	16	0	4.52241799992044	0.0166812000097707
24	1	0	88	98.2758928270752	-10.2758928270752	3.26047535367334	2.7241071729248	101	0	2	1	16	0	1.18285900005139	0.102904300088994
24	1	0	102	92.1610794882264	9.83892051177363	-6.11481333884883	8.83892051177363	101	0	3	1	16	0	1.30055189994164	0.0204529999755323
24	1	0	83	98.1698083627083	-15.1698083627083	6.00872887448192	2.8301916372917	101	0	4	0	16	0	0.674829200026579	0.0460344000020996
24	1	0	84	92.4895529219991	-8.48955292199914	-5.68025544070915	8.51044707800086	101	0	5	1	16	0	1.74506370001473	0.885078600025736
